診療項目代碼,健保支付點數,開始日期,結束日期,英文項目名稱,中文項目名稱,附註
00112C,0000220,20150201,29101231,,一般門診診察費–基層院所門診診察費　２．每位醫師每日門診量超過四十人次，但在六十人次以下部分（41-60）（３）未開處方或處方由本院所自行調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00113C,0000160,20150201,29101231,,一般門診診察費－基層院所門診診察費 3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）(1)處方交付特約藥局調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00114C,0000160,20150201,29101231,,一般門診診察費－基層院所門診診察費 3.每位醫師每日門診量超過六十人次但在八十人次以下部分（61-80）（3）未開處方或處方由本院所自行調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00115C,0000070,20150201,29101231,,一般門診診察費－基層院所門診診察費 4.每位醫師每日門診量超過八十人次，但在一五０人次以下部分（81-150）（１）處方交付特約藥局調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00116C,0000070,20150201,29101231,,一般門診診察費－基層院所門診診察費 4.每位醫師每日門診量超過八十人次，但在一五０人次以下部分（81-150）(3)未開處方或處方由本院所自行調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00117C,0000050,20090101,29101231,,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（1）處方交付特約藥局調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00118C,0000050,20090101,29101231,,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（3）未開處方或處方由本院所自行調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00119C,0000352,20170301,29101231,,一般門診診察費－基層院所門診診察費  6.山地離島地區 （1）處方交付特約藥局調劑(<=50人次),通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00120C,0000352,20170301,29101231,,一般門診診察費－基層院所門診診察費  6.山地離島地區 （3）未開處方或處方由本院所自行調劑(≦50),通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00121C,0000230,20060701,29101231,,牙科門診診察費1.每位醫師每日門診量在二十人次以下部分(≦20) 1)處方交付特約藥局調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理費29-39點。
00122C,0000230,19990701,29101231,,牙科門診診察費1.每位醫師每日門診量在二十人次以下部分(≦20) 2)未開處方或處方由本院所自行調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理費29-39點。
00123C,0000120,20060701,29101231,,牙科門診診察費2.每位醫師每日門診量超過二○人次部分(>20) 1)處方交付特約藥局調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理費29-39點。
00124C,0000120,19990701,29101231,,牙科門診診察費2.每位醫師每日門診量超過二○人次部分(>20) 2)未開處方或處方由本院所自行調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理費29-39點。
00125C,0000260,20160401,29101231,,牙科門診診察費3.山地離島地區 1)處方交付特約藥局調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理費29-39點。
00126C,0000260,20160401,29101231,,牙科門診診察費3.山地離島地區 2)未開處方或處方由本院所自行調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理費29-39點。
00128C,0000520,20150101,29101231,,重度以上特定身心障礙(非精神疾病)者診察費,註：限全民健康保險牙醫門診總額特殊醫療服務計畫適用對象之牙醫醫療服務申報。
00129C,0000313,20170301,29101231,,符合加強感染管制之牙科門診診察費1.每位醫師每日門診量在二十人次以下部份（＜＝20）－ 處方交付特約藥局調劑,1.牙醫特約醫事服務機構須依「牙醫門診加強感染管制實施方案」申報。2.初次申報此項時，附上「牙醫院所感染管制SOP作業考評表」以為核備。3.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。4.處方由本院所自行調劑者，得另申報門診藥事服務費。5.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑。6.本項支付點數含護理費29-39點。
00130C,0000313,20170301,29101231,,符合加強感染管制之牙科門診診察費1.每位醫師每日門診量在二十人次以下部份（＜＝20）－ 未開處方或處方由本院所自行調劑,1.牙醫特約醫事服務機構須依「牙醫門診加強感染管制實施方案」申報。2.初次申報此項時，附上「牙醫院所感染管制SOP作業考評表」以為核備。3.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。4.處方由本院所自行調劑者，得另申報門診藥事服務費。5.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑。6.本項支付點數含護理費29-39點。
00131B,0000287,20160401,29101231,,一般門診診察費–醫院門診診察費（不含牙科門診） ２．地區醫院〔2〕開具慢性病連續處方交付特約藥局調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00132B,0000265,20160401,29101231,,一般門診診察費–醫院門診診察費（不含牙科門診）  ２．地區醫院 （４）開具慢性病連續處方並由本院所自行調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00133C,0000343,20170301,29101231,,符合加強感染管制之牙科門診診察費2.山地離島地區 － 處方交付特約藥局調劑,1.牙醫特約醫事服務機構須依「牙醫門診加強感染管制實施方案」申報。2.初次申報此項時，附上「牙醫院所感染管制SOP作業考評表」以為核備。3.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。4.處方由本院所自行調劑者，得另申報門診藥事服務費。5.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑。6.本項支付點數含護理費29-39點。
00134C,0000343,20170301,29101231,,符合加強感染管制之牙科門診診察費2.山地離島地區 － 未開處方或處方由本院所自行調劑,1.牙醫特約醫事服務機構須依「牙醫門診加強感染管制實施方案」申報。2.初次申報此項時，附上「牙醫院所感染管制SOP作業考評表」以為核備。3.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。4.處方由本院所自行調劑者，得另申報門診藥事服務費。5.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑。6.本項支付點數含護理費29-39點。
00135B,0000287,20160401,29101231,,一般門診診察費–醫院門診診察費（不含牙科門診） ４．金門馬祖以外之山地離島地區–（２）開具慢性病連續處方交付特約藥局調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00136B,0000265,20160401,29101231,,一般門診診察費–醫院門診診察費（不含牙科門診） ４．金門馬祖以外之山地離島地區（４）開具慢性病連續處方由本院所自行調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00137B,0000308,20160401,29101231,,一般門診診察費–醫院門診診察費（不含牙科門診）５．金門馬祖地區（２）開具慢性病連續處方交付特約藥局調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00138B,0000287,20160401,29101231,,一般門診診察費–醫院門診診察費（不含牙科門診） ５．金門馬祖地區（４）開具慢性病連續處方並由本院所自行調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00139C,0000355,20150201,29101231,,一般門診診察費－基層院所門診診察費１．每位醫師每日門診量在四十人次以下部分(≦40）（２）開具慢性病連續處方並交付特約藥局調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00140C,0000330,20150201,29101231,,一般門診診察費－基層院所門診診察費１．每位醫師每日門診量在四十人次以下部分（≦40）（４）開具慢性病連續處方並由本院所自行調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00141C,0000275,20150201,29101231,,一般門診診察費－基層院所門診診察費　２.每位醫師每日門診量超過四十人次，但在六十人次以下（41-60）（２）開具慢性病連續處方並交付特約藥局調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00142C,0000250,20150201,29101231,,一般門診診查費–基層院所門診診查費 ２.每位醫師每日門診量超過四十人次，但在六十人次以下(41-60)（４）開具慢性病連續處方並由本院所自行調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00143C,0000215,20150201,29101231,,一般門診診察費－基層院所門診診察費3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）（2）開具慢性病連續處方並交付特約藥局調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00144C,0000190,20150201,29101231,,一般門診診察費－基層院所門診診察費 3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）（4）開具慢性病連續處方由本院所自行調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00145C,0000125,20150201,29101231,,一般門診診察費–基層院所門診診察費 ４.每位醫師每日門診量超過八十人次，但在一五０人次以下(81-150)（2）開具慢性病連續處方並交付特約藥局調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00146C,0000100,20150201,29101231,,一般門診診察費–基層院所門診診察費４.每位醫師每日門診量超過八十人次，但在一五０人次以下(81-150) （4）開具慢性病連續處方並由本院所自行調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00147C,0000105,20090101,29101231,,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（2）開具慢性病連續處方並交付特約藥局調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00148C,0000080,20090101,29101231,,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（4）開具慢性病連續處方並由本院所自行調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00149C,0000355,20090101,29101231,,一般門診診察費－基層院所門診診察費  6.山地離島地區 （2）開具慢性病連續處方並交付特約藥局調劑(≦50),通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00150C,0000330,20090101,29101231,,一般門診診察費－基層院所門診診察費  6.山地離島地區 （4）開具慢性病連續處方並由本院所自行調劑(≦50),通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00151B,0000131,20160401,29101231,,一般門診診察費–醫院門診診察費（不含牙科門診）３．就診人次超出合理量部分：（１）處方交付特約藥局調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00154A,0000260,20160401,29101231,,一般門診診察費－醫院門診診察費（不含牙科門診）１．就診人次在合理量內：醫學中心及區域醫院（１）處方交付特約藥局調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00155A,0000287,20160401,29101231,,一般門診診察費－醫院門診診察費（不含牙科門診）１．就診人次在合理量內：醫學中心及區域醫院（２）開具慢性病連續處方並交付特約藥局調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00156A,0000260,20160401,29101231,,一般門診診察費－醫院門診診察費（不含牙科門診）１．就診人次在合理量內：醫學中心及區域醫院（３）未開處方或處方由本院所自行調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00157A,0000265,20160401,29101231,,一般門診診察費－醫院門診診察費（不含牙科門診）１．就診人次在合理量內：醫學中心及區域醫院（４）開具慢性病連續處方並由本院所自行調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00158C,0000555,20150201,29101231,,一般門診診察費－基層院所門診診察費：１．每位醫師每日門診量四十人次以下部分（≦40）（５）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00159C,0000530,20150201,29101231,,一般門診診察費－基層院所門診診察費：１．每位醫師每日門診量四十人次以下部分（≦40）（６）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00160C,0000475,20150201,29101231,,一般門診診察費－基層院所門診診察費　2.每位醫師每日門診量超過四十人次，但在六十人次以下部分（41-60）（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00161C,0000450,20150201,29101231,,一般門診診察費—基層院所門診診察費 2.每位醫師每日門診量超過四十人次，但在六十人次以下部分（41-60）（6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00162C,0000415,20150201,29101231,,一般門診診察費—基層院所門診診察費 3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00163C,0000390,20150201,29101231,,一般門診診察費—基層院所門診診察費 3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）（6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00164C,0000325,20150201,29101231,,一般門診診察費–基層院所門診診察費４.每位醫師每日門診量超過八十人次，但在一五０人次以下(81-150) （5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00165C,0000300,20150201,29101231,,一般門診診察費–基層院所門診診察費４.每位醫師每日門診量超過八十人次，但在一五０人次以下(81-150) （6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00166C,0000305,20090101,29101231,,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00167C,0000280,20090101,29101231,,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00168C,0000555,20090101,29101231,,一般門診診察費—基層院所門診診察費 6.山地離島地區（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑(≦50),通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00169C,0000530,20090101,29101231,,一般門診診察費—基層院所門診診察費 6.山地離島地區 （6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑(≦50),通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00170A,0000505,20160401,29101231,,一般門診診察費－醫院門診診察費（不含牙科門診）　１．就診人次在合理量內：醫學中心及區域醫院（５）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00171A,0000483,20160401,29101231,,一般門診診察費－醫院門診診察費（不含牙科門診）　１．就診人次在合理量內：醫學中心及區域醫院　（６）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00172B,0000505,20160401,29101231,,一般門診診察費–醫院門診診察費（不含牙科門診）  ２．地區醫院 （５）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00173B,0000483,20160401,29101231,,一般門診診察費–醫院門診診察費（不含牙科門診）  ２．地區醫院 （６）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00174B,0000505,20160401,29101231,,一般門診診察費–醫院門診診察費（不含牙科門診） ４．金門馬祖以外之山地離島地區（５）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
